sample,category
<dq>124<cm>000 நபிமார்களில் ஒருவர் கூட பெண்ணல்ல.\nஆகவே தலைமைத்துவத்திற்கு மிகப் பொருத்தமானவர்கள் ஆண்களே.\n\nஒரு ஆண் ஒரே நேரத்தில் நான்கு மனைவிமாரோடு வாழ இஸ்லாம் அனுமதித்துள்ளது. Vice versa is prohibited and impossible.\n\nஒரு ஆணின் சாட்சியத்திற்கு பதிலாக இரண்டு பெண்களின் சாட்சி வேண்டும். அதிலும் பெண்கள் பலவீனம்தான்.\n\nஅள்ளாஹ்வுக்கு பாடம் நடத்த வராதீங்க தாய்க்குலமே.\n\nஆதம் நபியின் விலா எலும்பிலிருந்துதான் ஔவா அலைஹிஸ்ஸலாம் படைக்கப்பட்டார்.\n\nஉங்களை நாங்கள் மதிக்கின்றோம்<cm> நேசிக்கின்றோம்.\n\nBut not =\n\nThis is the truth.<dq>,religion
அவசரமாக களை எடுக்க வேண்டியவர்கள். புற்று நோய் போல வளர்ந்தால் ரொம்ப கஷ்டம். சம்பந்தப்பட்ட இடத்திற்கு அனுப்பிவிடுகிறோம். 🙂✌🏾வேறு ஏதாவது பதிவுகள் வந்தால் லிங்க் நை அனுப்பி விடுங்கள். 😶,religion
தலைமைத்துவத்திற்கு பொருத்தமானவர்கள் ஆண்களே.\n\nகுடும்பமாயினும் சரி நாடானாலும் சரி.,gender
இதனால்தான் பெண்கள் இமாமத் செய்வதற்கு தகுதி அற்றவர்கள்,gender
இப்ப எல்லாமே சம உரிமை ஆண் பெண் எல்லாம் சமம் எண்டு ஒரு குரூப் லாத்துது தெரியாதா சகோ,gender
ஆம்புளட கடுப்புல நியாயம் காணுறீங்க என்ன 😂😂,gender
Dei pota 😂,gender
Nee tik tok seyya modha illa adhukku modhalla irundhe nee pons thanda,gender
adey pons,gender
என்ன கருமண்டா இது  எங்க கிடந்துடா வெளியாறீங்க விரி புடையன் மாதிரி எப்பா   9னு நீ கவனம் டா,gender
உங்களுக்கும் குஞ்சி இருக்காடா மக்காள்???🙈🙈🙈🤣🤣🤣🤣🔞,gender
Pondss😂😂,gender
கிர்தா தடிக்கூதிட மவன் ☺,other
<dq>இவன அமத்தவேண்டும் காக்கா <dq>,other
காக்கோ இரவோடு இரவா சாத்தனும் போட்டு வேடனுக்கு,other
தலைவரே கவனமாக இருக்கவும் உங்கள் வழுக்க மண்டை தாக்கப்பட கூடும் இப்படிக்கு பாசத்துக்கூரிய தொண்டன்,politics
இந்த பொனன்னயன்ட வீட்ட விட்டுடிங்களடா,politics
Nee oru kallan double game aadra naai kaasu enda ellam vippa,politics
மொங்கயோ,politics
<dq>Jatti pottukonga thalaivare<dq>,politics
Poda dei ponne naye unnaum jattiyode oade viduvanuhal mande bathuram,politics
adutha poriyal ongaluku than,politics
ஓரா ஓல,politics
தல நீங்க ஜட்டியோட ஓடுரமாதிரி கனவுகண்டன் தல🤪😄😄,politics
Pundiyandi,politics
ஏமாந்து பீ மொந்து,politics
poda peekali payale,politics
இவரு நல்லா கூட்டிக் கொடுப்பாரு,politics
மண்ட பத்துரம் 😂😂😂😂😂,politics
Poda Maithu Pun**😂,politics
Ponnayan,politics
Jangi ya nalla pottu kongo leader ahe....,politics
உனக்கு பீ முட்டியால அடிக்கனும் 🤬🤬🤬,politics
valila poida vanm sutha kilipanukl,politics
Iwan oru kalla naai,politics
Odungada angale. Soker🤡,politics
Thalle pooi velayaduda pannada,politics
யோ போயா நீயும்  ஒரு நறியன்தான்,politics
Dai kalisara naya yarra ne.,other
அம்மாடா சுத்து,other
ஏன் பொல்லு பெரிசோ🤣🤣🤣,politics
நாடு இருக்கும் நிலையில் இவ வேற எவன் வந்தாலும் இணையுறத பற்றியே தான் யோசனை😍😍😍,politics
இவன் நாஸ்திகனுமல்ல யூதனுமல்ல அவர்களை மிஞ்சிய பைத்தியக்காரன் தான் என்பதை கூறுகிறான்.,religion
Poddda maddayyaahhh,other
உன் தாயும் தந்தையும் உனக்கு சரியான கல்வி புகட்டாதன் விளைவு இது செப்டம்பர் தாக்குதலின் பின் இஸ்லாத்தை தேடி அறிந்த மேற்குலக மக்களின் வாழ்க்கை நிலையை படித்துப்பார்.,religion
சுத்தப்பைத்தியம்,other
Change your name crazy,other
ஒன்ன எல்லாம் நாய்க்கி ஓத்து தான் பெத்தாக்கும்,other
<dq>பண்டைய அரபிகளால் உருவாக்கப்பட்டு<cm> முஹம்மதால் மெருகூட்டப்பட்டு<cm> முஸ்லிம்களால் வாழ வைக்கப்படுகின்ற கற்பனைப் பாத்திரமே <sq>அல்லாஹ்<sq>.<dq>,religion
Now he  has his own butterfly .,ethnicity
காக்கா ஒரு அறைல தலை பறக்கனும்.டிக்டொக் டிக்டொக் என்டு மெண்டலாவே போய்ட்டானுகள்.,other
<dq>அட ஈன பிறவி அல்லாஹ் என்பது ஒரு அரபு சொல் அதன் பொருள் ஆதிபகவன்..என் டுபுக உன் வாய்ல வைக்க<dq>,religion
அட முட்டா கூ நீ என்ன சொல்ல வருகிறாய் நீ சங்கிய இல்லை பகுத்தறிவு என பினாத்தும் மங்கி சொல்,religion
இந்து மதம் எப்படி சாக்கடையோ \nஅதை விட கேவலமானது முஸ்லிம் மதம்,religion
<dq>சிங்களவர்களின் ரத்தங்கள் எமது விருப்பும் அல்ல நாம் அந்த கேவலமான காரியத்தை செய்யும் இனமும் அல்ல நாம் ஈழத்தமிழர்..இந்த பாற்சோறு பொங்கும் தென்னிலங்கை வாசிகள் பலமுள்ள பக்கம் பாயும் பச்சோந்திகள்<cm>அன்று இவர்கள் பொங்கினார்கள் இன்றும் பொங்குகிறார்கள் இவர்கள் ஆபத்தானவர்கள்\n♥♥♥<dq>,ethnicity
சந்திரிகா குமாரதுங்க\nதமிழ் இனப் படுகொலையின்\nமுக்கிய சூத்திரதாரி.\nதமிழ் மக்கள் அனைவரும்\nசரியான முறையில் புரிந்து கொள்ள வேண்டும்.,politics
தெலுங்கு வழித்தோன்றல் புக்கு அப்படித்தான் செய்வான்,ethnicity
நாசமா போவான் இந்த துரோகி,politics
