sample,category
Intha pullaye mudikiravan kuduthu vechchavan  Salli kekae kekae kudupaallll❤️❤️🙌🏽,other
Antha Cute voice ku na adime…😊😊😊,other
Enna janthu da idu 🙄 thanos ku periyamma mathiri iruku 👽,gender
Keri dial ondu da Adai yaru sari ivanda id sollunga da.😂😂,gender
Ewalda id nme enna va😄,gender
Karumam....,gender
இதைவிட நாட்டின் கஸ்டகாலமே மேல்,gender
ஓஸ்மா 🤣🤣,gender
யாரு சாமி நீ,gender
யாருட அக்காக்கு பிள்ளை கூடுத்தது,gender
இப்போது. விளங்குகின்றது எமது நாட்டில் யார் பிரச்சினைகளை தூண்டுபவர்<cm> அடாவடித்தனங்களை செய்பவர் யார் என்பதை நிரூபித்துவிட்டனர். பதவி ஆசையினால் ஏற்படும் விளைவுகளே இவை.,politics
பொண்ண மஹிந்த,politics
அடேய் புண்---- jeleel. ரோஷம் கெட்ட நாய்,politics
கடும் ஆள் சேர் நீங்க,politics
உங்க அரசியல் ரொம்ப பிடிச்சிருக்கு,politics
நாடுமுழுவது நாறப்போகிறது என கணித்த அறிஞர்கள் எடுத்தார்கள் அவர்களது ஆயுதத்ததை,politics
ஊத்தயன் ஒரு அரசியல் வேசதாரி,politics
Poda loosa nu podanum polan irki,politics
எலும்பு நக்கி நஸீரு,politics
Kalla punda mahangal,politics
இவன் ஒரு கல்லன்,politics
முனாபிக்,religion
Vekkam ketta naye,politics
Sunni keriyan mussaraf punda,politics
போடா பைத்தியம்,politics
போடா ஒலக்கா மாலக்கா,politics
நீ என்ன avantatha uumba poriya,politics
பணம் தின்னி கழு பீ தின்னி கழுகு பெசிலி,politics
TMVP_சூ__ நக்கிகள் யாராச்சும் சொல்லுங்கோடா,politics
கருணாட வப்பாட்டிக்கு பிறந்தவன்தான் சாணக்கியன். வரலாற்றை புரட்டுக,politics
Bunda,gender
சூப்பர் மோடலுக்கு சூடேத்துற பாட்டு கேக்தோ,gender
Ungala Podanum Doli ,gender
அக்கா Shorts ku உள்ள அட்ட போக போது...,gender
mutti adi padum pola,gender
Link கிடைக்குமா,gender
நான் குண்டி கதை சொல்லட்டுமா,gender
Bumdha,gender
vesa,gender
எலும்பு நக்கி நஸீரு,politics
Kalla punda mahangal,ethnicity
நாதாரி,politics
போடா திருட்டு நாயே... ராஜபக்ச வழக்கும் நாய் இவன்,politics
முஃமின்களின் காமக் கண்களை கட்டுப்படுத்த முடியாது என்பதால்தான் பெண்களின் ஆடைகளை மூடினார்கள்,religion
டேய் நசீர் எங்கடா போன்டாட்டி சிங்களவனுக்கு கூட்டி கொடுக்கியா,politics
Suuthu kudu,politics
அடேய் நாய்க்கும் மனிசனுக்கும் பொறந்த நாய் மனிசனே உண்ட சாவு ரொம்ப மோசமா இருக்கும் பாரு.,politics
கள்ள பண்டி கோட்டக்கு நல்லா குடு,politics
Ponnayan,gender
Okkame ppada naye,gender
அடேய் கிழட்டு மூதேவி<cm> உன்னப் போன்ற சக்கிலிப் புண்..... மவனுகள விட கல்கிஸ்ஸ பாதைகளில் இருக்கும் வி லை மாதர்களுக்கு ஏதாவது ஒருகொள்கை இருக்கும் டா.,politics
லூசுப் பூனா,politics
மோமது நொபி தனது மனைவிமார்களை தன் தோழர்களிடமிருந்து காப்பாற்றிக் கொள்ளவே இந்த முகத்தை மூடும் முறைமையை அறிமுகம் செய்தான் அவ்வளவே,religion
சமுத்திரத்தில் விட்டாலும் நாய் நக்கித்தான் குடிக்கும்,politics
Wahhabi,politics
Sri Lanka the land of Buddhism.,gender
This city = ISIS lite mod plz go to safe area,politics
most dangerous city in sri lanka <cm> please going to sinhalese peoples area.,ethnicity
